SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,CATEGORY
238,36,0,0,1233,28,8,6
238,14,0,0,1624,38,8,6
45,96,0,0,222,4,12,1
265,97,0,0,2534,26,15,3
238,79,0,0,113,4,8,6
284,111,0,0,631,6,24,2
96,0,0,1,713,16,9,6
111,100,0,0,1911,40,5,3
21,67,1,0,713,16,4,6
96,16,0,1,312,20,9,6
247,16,0,1,612,17,8,2
169,16,0,0,2412,50,2,6
195,90,1,0,612,17,19,0
238,16,0,1,2533,37,8,6
56,111,0,0,231,20,2,6
155,0,1,0,712,16,19,0
116,107,0,0,1831,42,12,1
238,83,0,0,731,6,9,6
261,96,0,0,932,16,15,3
59,111,0,0,1533,28,7,3
8,111,0,0,422,7,3,6
271,122,0,0,732,6,16,4
73,16,0,0,932,16,18,2
238,96,0,0,1813,43,8,6
8,48,0,0,1225,27,3,6
238,111,0,0,2222,21,9,6
261,22,0,0,513,9,15,3
238,16,0,0,213,3,9,6
59,111,0,0,2232,21,7,3
10,111,0,0,1012,24,4,6
261,96,0,0,2213,19,15,3
59,111,0,0,2531,29,7,3
59,97,0,0,2013,48,7,3
269,16,0,0,1811,2,5,3
238,45,1,0,2023,48,8,6
261,14,0,0,2511,36,15,3
238,107,0,0,1713,33,9,6
238,111,0,0,1834,42,9,6
238,106,0,0,2011,40,9,6
170,96,0,0,1432,32,18,5
59,111,0,0,111,42,7,3
238,106,0,0,2512,29,9,6
96,107,1,1,1624,38,9,6
247,16,0,0,113,34,8,2
238,116,0,0,1021,24,9,6
96,16,0,1,1225,27,9,6
111,16,0,0,1423,1,5,3
42,111,0,0,714,16,7,3
285,85,0,1,2512,36,24,2
254,52,0,0,123,4,12,1
59,116,0,0,1522,29,7,3
238,106,0,0,2213,19,9,6
59,111,0,0,1221,36,7,3
265,122,0,1,331,5,15,3
102,111,0,0,613,17,24,2
265,59,0,0,234,4,15,3
248,14,0,0,1423,26,7,3
238,90,0,0,322,6,9,6
261,80,0,0,832,16,15,3
238,111,0,0,811,13,8,6
265,111,0,0,812,13,15,3
203,111,1,0,1132,24,19,0
238,111,1,0,1723,33,9,6
39,96,0,1,2523,31,23,4
96,16,1,1,1722,39,9,6
96,16,0,1,1732,30,9,6
179,16,0,0,2514,30,18,5
265,122,0,0,924,15,15,3
238,96,0,0,1925,46,8,6
269,111,0,0,1732,35,5,3
111,100,0,0,821,12,5,3
96,16,0,1,224,3,9,6
261,16,0,0,1124,27,15,3
96,96,1,1,1234,25,9,6
111,96,0,0,523,9,5,3
5,111,0,0,813,13,3,6
